axis,index,coordinate
x,621,19.296765626149572
x,622,19.333482772775252
x,623,19.37028713979628
x,624,19.40717913700374
x,625,19.444159175164433
x,626,19.481227666025415
x,627,19.518385022318615
x,628,19.55563165776541
x,629,19.59296798708125
x,630,19.630394425980246
x,631,19.667911391179832
x,632,19.70551930040539
x,633,19.743218572394877
x,634,19.781009626903547
x,635,19.818892884708564
x,636,19.856868767613715
x,637,19.894937698454108
x,638,19.93310010110087
x,639,19.971356400465883
x,640,20.009707022506497
x,641,20.048152394230268
x,642,20.086692943699738
x,643,20.125329100037188
x,644,20.164061293429405
x,645,20.202889955132495
x,646,20.24181551747666
x,647,20.280838413871027
x,648,20.31995907880847
x,649,20.359177947870453
x,650,20.398495457731872
x,651,20.437912046165913
x,652,20.47742815204894
x,653,20.517044215365377
x,654,20.556760677212598
x,655,20.59657797980585
x,656,20.636496566483167
x,657,20.676516881710313
x,658,20.716639371085734
x,659,20.756864481345506
x,660,20.79719266036833
x,661,20.837624357180484
x,662,20.878160021960863
x,663,20.91880010604597
x,664,20.959545061934946
x,665,21.0003953432946
x,666,21.041351404964466
x,667,21.082413702961883
x,668,21.12358269448704
x,669,21.164858837928094
x,670,21.206242592866264
x,671,21.24773442008095
x,672,21.289334781554846
x,673,21.33104414047913
x,674,21.372862961258555
x,675,21.414791709516688
x,676,21.456830852101042
x,677,21.498980857088302
x,678,21.541242193789525
x,679,21.583615332755375
x,680,21.626100745781354
x,681,21.668698905913057
x,682,21.711410287451436
x,683,21.754235365958092
x,684,21.797174618260552
x,685,21.84022852245761
x,686,21.88339755792461
x,687,21.9266822053188
x,688,21.970082946584714
x,689,22.01360026495947
x,690,22.05723464497824
x,691,22.100986572479542
x,692,22.144856534610746
x,693,22.188845019833437
x,694,22.232952517928876
x,695,22.277179520003457
x,696,22.32152651849415
x,697,22.36599400717402
x,698,22.410582481157693
x,699,22.455292436906888
x,700,22.500124372235955
x,701,22.545078786317372
x,702,22.59015617968735
x,703,22.63535705425139
x,704,22.680681913289863
x,705,22.72613126146364
x,706,22.771705604819655
x,707,22.817405450796613
x,708,22.86323130823058
x,709,22.9091836873607
x,710,22.955263099834816
x,711,23.001470058715213
x,712,23.04780507848432
x,713,23.09426867505043
x,714,23.140861365753455
x,715,23.18758366937068
x,716,23.234436106122534
x,717,23.281419197678385
x,718,23.32853346716237
x,719,23.37577943915917
x,720,23.423157639719932
x,721,23.470668596368018
x,722,23.518312838104965
x,723,23.56609089541636
x,724,23.61400330027772
x,725,23.662050586160422
x,726,23.710233288037657
x,727,23.758551942390376
x,728,23.80700708721327
x,729,23.855599262020764
x,730,23.904329007853008
x,731,23.953196867281893
x,732,24.00220338441714
x,733,24.051349104912312
x,734,24.100634575970904
x,735,24.15006034635245
x,736,24.199626966378588
x,737,24.249334987939257
x,738,24.29918496449878
x,739,24.34917745110206
x,740,24.39931300438075
x,741,24.449592182559435
x,742,24.500015545461896
x,743,24.550583654517272
x,744,24.60129707276639
x,745,24.65215636486797
x,746,24.703162097104926
x,747,24.754314837390712
x,748,24.805615155275596
x,749,24.85706362195301
x,750,24.908660810265953
x,751,24.96040729471329
x,752,25.012303651456236
x,753,25.064350458324718
x,754,25.11654829482381
x,755,25.16889774214021
x,756,25.22139938314869
x,757,25.27405380241858
x,758,25.32686158622032
x,759,25.379823322531937
x,760,25.432939601045618
x,761,25.48621101317426
x,762,25.53963815205809
x,763,25.593221612571213
x,764,25.646961991328293
x,765,25.700859886691152
x,766,25.75491589877546
x,767,25.80913062945741
x,768,25.863504682380402
x,769,25.91803866296179
x,770,25.972733178399622
x,771,26.02758883767935
x,772,26.0826062515807
x,773,26.137786032684396
x,774,26.193128795379007
x,775,26.24863515586781
x,776,26.3043057321756
x,777,26.360141144155623
x,778,26.416142013496447
x,779,26.472308963728903
x,780,26.52864262023301
x,781,26.585143610244934
x,782,26.641812562864004
x,783,26.698650109059685
x,784,26.755656881678608
x,785,26.812833515451654
x,786,26.870180647000947
x,787,26.927698914847014
x,788,26.98538895941585
x,789,27.043251423046083
x,790,27.101286949996105
x,791,27.159496186451214
x,792,27.217879780530886
x,793,27.276438382295925
x,794,27.33517264375574
x,795,27.394083218875572
x,796,27.4531707635838
x,797,27.512435935779234
x,798,27.57187939533845
x,799,27.63150180412312
x,800,27.6913038259874
x,801,27.751286126785306
x,802,27.811449374378135
x,803,27.87179423864191
x,804,27.932321391474822
x,805,27.993031506804734
x,806,28.053925260596625
x,807,28.115003330860212
x,808,28.176266397657436
x,809,28.23771514311002
x,810,28.29935025140712
x,811,28.361172408812894
x,812,28.423182303674167
x,813,28.4853806264281
x,814,28.547768069609855
x,815,28.61034532786033
x,816,28.67311309793386
x,817,28.73607207870603
x,818,28.7992229711814
x,819,28.862566478501336
x,820,28.926103305951848
x,821,28.989834160971423
x,822,29.053759753158907
x,823,29.11788079428141
x,824,29.18219799828224
x,825,29.246712081288848
x,826,29.311423761620766
x,827,29.376333759797657
x,828,29.441442798547317
x,829,29.50675160281371
x,830,29.57226089976507
x,831,29.637971418801953
x,832,29.7038838915654
x,833,29.769999051945053
x,834,29.83631763608735
x,835,29.902840382403728
x,836,29.96956803157878
x,837,30.03650132657861
x,838,30.10364101265899
x,839,30.170987837373747
x,840,30.238542550583063
x,841,30.30630590446177
x,842,30.37427865350781
x,843,30.442461554550572
x,844,30.510855366759355
x,845,30.579460851651813
x,846,30.648278773102398
x,847,30.717309897350923
x,848,30.78655499301106
x,849,30.856014831078895
x,850,30.92569018494155
x,851,30.995581830385724
x,852,31.065690545606408
x,853,31.136017111215484
x,854,31.206562310250487
x,855,31.277326928183253
x,856,31.348311752928687
x,857,31.419517574853565
x,858,31.49094518678531
x,859,31.562595384020828
x,860,31.634468964335348
x,861,31.7065667279913
x,862,31.77888947774727
x,863,31.85143801886689
x,864,31.924213159127838
x,865,31.997215708830804
x,866,32.070446480808506
x,867,32.1439062904348
x,868,32.21759595563367
x,869,32.29151629688844
x,870,32.36566813725081
x,871,32.440052302350054
x,872,32.51466962040224
x,873,32.58952092221945
x,874,32.664607041218986
x,875,32.73992881343269
x,876,32.81548707751621
x,877,32.89128267475841
x,878,32.96731644909066
x,879,33.0435892470963
x,880,33.120101918020005
x,881,33.19685531377727
x,882,33.2738502889639
x,883,33.35108770086553
x,884,33.42856840946713
x,885,33.50629327746267
x,886,33.58426317026458
x,887,33.662478956013544
x,888,33.74094150558805
x,889,33.81965169261415
x,890,33.89861039347518
x,891,33.97781848732146
x,892,34.05727685608017
x,893,34.136986384465125
x,894,34.21694795998659
x,895,34.297162472961254
x,896,34.37763081652203
x,897,34.45835388662812
x,898,34.53933258207488
x,899,34.6205678045039
x,900,34.70206045841304
x,901,34.783811451166414
x,902,34.86582169300463
x,903,34.94809209705482
x,904,35.03062357934085
x,905,35.113417058793516
x,906,35.19647345726076
x,907,35.279793699517946
x,908,35.36337871327816
x,909,35.44722942920254
x,910,35.531346780910624
x,911,35.61573170499076
x,912,35.700385141010514
x,913,35.78530803152717
x,914,35.87050132209819
x,915,35.95596596129176
x,916,36.04170290069731
x,917,36.1277130949362
x,918,36.213997501672246
x,919,36.30055708162246
x,920,36.387392798567696
x,921,36.474505619363406
x,922,36.56189651395042
x,923,36.64956645536571
x,924,36.73751641975323
x,925,36.82574738637482
x,926,36.914260337621066
x,927,37.003056259022266
x,928,37.09213613925941
x,929,37.18150097017513
x,930,37.271151746784824
x,931,37.361089467287684
x,932,37.45131513307783
x,933,37.541829748755426
x,934,37.63263432213793
x,935,37.72372986427128
x,936,37.815117389441085
x,937,37.90679791518406
x,938,37.998772462299236
x,939,38.09104205485938
x,940,38.18360772022238
x,941,38.2764704890427
x,942,38.36963139528282
x,943,38.46309147622482
x,944,38.55685177248182
x,945,38.650913328009686
x,946,38.74527719011856
x,947,38.83994440948458
x,948,38.93491604016154
x,949,39.03019313959266
x,950,39.12577676862232
x,951,39.22166799150793
x,952,39.3178678759317
x,953,39.4143774930126
x,954,39.511197917318256
x,955,39.60833022687692
x,956,39.70577550318945
x,957,39.803534831241386
x,958,39.901609299515016
x,959,40.00000000000149
y,0,-3.409090995788574
y,1,-3.3717517084562325
y,2,-3.334648535428457
y,3,-3.297778878474157
y,4,-3.261140155714717
y,5,-3.2247298014431918
y,6,-3.1885452659446454
y,7,-3.1525840153175935
y,8,-3.116843531296566
y,9,-3.0813213110757594
y,10,-3.0460148671337692
y,11,-3.010921727059401
y,12,-2.9760394333785305
y,13,-2.9413655433820147
y,14,-2.9068976289546353
y,15,-2.8726332764050655
y,16,-2.838570086296847
y,17,-2.8047056732803597
y,18,-2.771037665925789
y,19,-2.737563706557055
y,20,-2.704281451086714
y,21,-2.6711885688518104
y,22,-2.638282742450663
y,23,-2.6055616675805853
y,24,-2.5730230528765246
y,25,-2.540664619750599
y,26,-2.5084841022325377
y,27,-2.4764792468110017
y,28,-2.444647812275775
y,29,-2.4129875695608183
