test_id,fuel_raw,nozzle_mm,pressure_pa,xf,fuel_display,air_display,fan_setting,smoke_point_pixels,smoke_point_mm,flame_width_mm,tad_k,total_fuel_sccm,hc_only_sccm,mdot_total_mg_s,mdot_hc_mg_s,coflow_velocity_cm_s,fuel_jet_velocity_cm_s,series,platform,fuel,fuel_fraction,investigation,source,gravity
P7-2,Propane,0.762,101325.0,1.0,240.0,29.0,66.0,192.0,75.58453672355421,6.892143992261453,2264.12,86.39999999999999,86.39999999999999,2.630661477843173,2.630661477843173,21.347876557433533,315.76403862239755,spice_flight,ISS,propane,1.0,PSI-107,experiment,microgravity
P7-3,Propane,0.762,101325.0,1.0,206.0,24.0,57.0,241.0,64.3273682028605,6.662405859186071,2264.12,74.16,74.16,2.2579844351487233,2.2579844351487233,16.646799634888897,271.0307998175579,spice_flight,ISS,propane,1.0,PSI-107,experiment,microgravity
75P16-1,75 % Propylene,1.6002,101325.0,0.75,149.0,75.0,139.0,357.0,37.67774476611622,5.283977060733781,2317.4,71.65982404692082,53.74486803519061,1.9080639871685179,1.5616898136843498,64.5977842448442,59.38627343166341,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-2,75 % Propylene,1.6002,101325.0,0.75,147.0,69.0,139.0,365.0,35.83983970151316,5.513715193809162,2317.4,70.69794721407625,53.02346041055719,1.8824523900253165,1.5407275343060367,58.956491937790645,58.589142244661225,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-3,75 % Propylene,1.6002,101325.0,0.75,117.0,61.0,119.0,383.0,31.704553306156285,5.973191459959926,2317.4,56.26979472140763,42.20234604105572,1.4982784328772927,1.2262933436313352,51.43476886171922,46.63217443962832,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-4,75 % Propylene,1.6002,101325.0,0.75,105.0,51.0,98.0,405.0,26.65031437849788,5.283977060733781,2317.4,50.49853372434018,37.87390029325513,1.344608850018083,1.1005196673614548,42.03261501662994,41.84938731761516,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-5,75 % Propylene,1.6002,101325.0,0.75,79.0,37.0,81.0,429.0,21.13659918468872,6.662405859186071,2317.4,37.9941348973607,28.495601173020525,1.0116580871564624,0.82801003544338,28.869599633504954,31.48668188658664,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-6,75 % Propylene,1.6002,101325.0,0.75,50.0,20.0,55.0,458.0,14.474193325502654,6.202929593035308,2317.4,24.04692082111437,18.035190615835777,0.6402899285800395,0.5240569844578356,12.885938096853188,19.928279675054835,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-7,75 % Propylene,1.6002,101325.0,0.75,49.0,20.0,79.0,458.0,14.158540794131824,7.354680329700515,2317.4,23.565982404692082,17.674486803519063,0.6274841300084388,0.5135758447686789,12.885938096853188,19.529714081553742,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-8,75 % Propylene,1.6002,101325.0,0.75,72.0,35.0,117.0,431.0,20.36405232231664,6.895012809094233,2317.4,34.62756598240469,25.970674486803517,0.9220174971552569,0.7546420576192832,26.989168864487098,28.696722732078964,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-9,75 % Propylene,1.6002,101325.0,0.75,52.0,24.0,131.0,451.0,15.608727809261254,8.18283784689322,2317.4,25.008797653958943,18.75659824046921,0.6659015257232411,0.545019263836149,16.646799634888897,20.72541086205703,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P16-10,75 % Propylene,1.6002,101325.0,0.75,61.0,31.0,131.0,441.0,17.88173832228715,8.18283784689322,2317.4,29.337243401759533,22.00293255131965,0.7811537128676483,0.6393495210385594,23.22830732645139,24.312501203566903,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P7-1,75 % Propylene,0.762,101325.0,0.75,149.0,46.0,97.0,349.0,39.51564983071927,4.824500794583017,2317.4,71.65982404692082,53.74486803519061,1.9080639871685179,1.5616898136843498,37.3315380940853,261.8934658336357,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P7-2,75 % Propylene,0.762,101325.0,0.75,70.0,22.0,134.0,423.0,21.97315724573376,8.18283784689322,2317.4,33.665689149560116,25.24926686217009,0.8964059000120553,0.7336797782409699,14.76636886587104,123.03719871378857,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P7-3,75 % Propylene,0.762,101325.0,0.75,68.0,22.0,134.0,431.0,20.154748835313043,6.591730487775093,2317.4,32.70381231671554,24.527859237536656,0.8707943028688537,0.7127174988626563,14.76636886587104,119.5218501791089,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
75P7-4,75 % Propylene,0.762,101325.0,0.75,156.0,47.0,101.0,328.0,43.97615819320869,5.64745994200374,2317.4,75.02639296187684,56.26979472140763,1.9977045771697235,1.635057791508447,38.271753478594235,274.19718570501453,spice_flight,ISS,propylene,0.75,PSI-107,experiment,microgravity
