fuel,d0_mm,pressure_atm,xo2,measurement,value,source,error_bar_side,data_file,doi,figure,investigation,gravity
n-heptane,3.0,1.0,0.21,dext_hot_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,4.0,1.0,0.21,dext_hot_mm,3.57624,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,5.0,1.0,0.21,dext_hot_mm,4.78062,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,6.0,1.0,0.21,dext_hot_mm,5.85625,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,7.0,1.0,0.21,dext_hot_mm,6.8908,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,2.0,1.0,0.21,dext_cool_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,3.0,1.0,0.21,dext_cool_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,4.0,1.0,0.21,dext_cool_mm,0.95,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,5.0,1.0,0.21,dext_cool_mm,1.02,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,6.0,1.0,0.21,dext_cool_mm,1.2,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-heptane,7.0,1.0,0.21,dext_cool_mm,1.4,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,4.381,1.0,0.21,dext_hot_mm,3.963,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.925,1.0,0.21,dext_hot_mm,3.37,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.763,1.0,0.21,dext_hot_mm,3.031,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,4.395,1.0,0.21,dext_hot_mm,3.935,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.947,1.0,0.21,dext_hot_mm,3.409,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.948,1.0,0.21,dext_hot_mm,3.327,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,4.381,1.0,0.21,dext_cool_mm,1.317,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.925,1.0,0.21,dext_cool_mm,1.042,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.763,1.0,0.21,dext_cool_mm,1.11,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,4.395,1.0,0.21,dext_cool_mm,1.052,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.947,1.0,0.21,dext_cool_mm,1.088,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.948,1.0,0.21,dext_cool_mm,0.661,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,2.0,1.0,0.21,dext_hot_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.0,1.0,0.21,dext_hot_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,4.0,1.0,0.21,dext_hot_mm,3.41,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,5.0,1.0,0.21,dext_hot_mm,4.85682,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,6.0,1.0,0.21,dext_hot_mm,5.95349,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,7.0,1.0,0.21,dext_hot_mm,6.98,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,2.0,1.0,0.21,dext_cool_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,3.0,1.0,0.21,dext_cool_mm,0.0,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,4.0,1.0,0.21,dext_cool_mm,0.43,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,5.0,1.0,0.21,dext_cool_mm,0.65,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,6.0,1.0,0.21,dext_cool_mm,0.89,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-decane,7.0,1.0,0.21,dext_cool_mm,0.94,simulation,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
n-dodecane,4.408,1.0,0.21,dext_hot_mm,4.059,experiment,,PROCI_2023_Alkane_Extinction_Diameter_1atm.csv,10.1016/j.proci.2022.07.094,Fig. 3,PSI-117,microgravity
