GMT date,GMT ignition,GMT  Flame Off ,Fuel,Nozzle (mm),Fuel Rate (sccm),Fuel Rate (mg/s),HC Fuel Rate (mg/s),Air Rate (cm/s)
55,9:00:26,9:02:11,50 % Propylene,1.6002,100.6099291,2.386,1.432,57.08
55,9:00:26,9:02:11,50 % Propylene,1.6002,107.0070922,2.537,1.523,57.08
55,9:36:14,9:37:54,50 % Propylene,1.6002,81.41843972,1.931,1.159,26.05
55,9:36:14,9:37:54,50 % Propylene,1.6002,40.70921986,0.965,0.579,26.05
55,9:36:14,9:37:54,50 % Propylene,1.6002,89.56028369,2.124,1.275,25.11
55,9:36:14,9:37:54,50 % Propylene,1.6002,81.41843972,1.931,1.159,26.05
55,9:36:14,9:37:54,50 % Propylene,1.6002,40.70921986,0.965,0.579,26.05
55,9:36:14,9:37:54,50 % Propylene,1.6002,92.46808511,2.193,1.316,25.11
55,9:39:14,9:40:53,50 % Propylene,1.6002,91.88652482,2.179,1.308,40.15
55,9:39:14,9:40:53,50 % Propylene,1.6002,46.5248227,1.103,0.662,40.15
55,9:39:14,9:40:53,50 % Propylene,1.6002,105.2624113,2.496,1.498,39.21
55,9:39:14,9:40:53,50 % Propylene,1.6002,91.88652482,2.179,1.308,40.15
55,9:39:14,9:40:53,50 % Propylene,1.6002,46.5248227,1.103,0.662,39.21
55,9:39:14,9:40:53,50 % Propylene,1.6002,105.2624113,2.496,1.498,39.21
55,9:39:14,9:40:53,50 % Propylene,1.6002,117.4751773,2.786,1.672,39.21
55,9:49:56,9:51:28,50 % Propylene,0.762,106.4255319,2.524,1.515,11.95
55,9:49:56,9:51:28,50 % Propylene,0.762,52.92198582,1.255,0.753,11.01
55,9:49:56,9:51:28,50 % Propylene,0.762,97.12056738,2.303,1.382,11.01
55,9:49:56,9:51:28,50 % Propylene,0.762,106.4255319,2.524,1.515,11.95
55,9:49:56,9:51:28,50 % Propylene,0.762,52.92198582,1.255,0.753,11.01
55,9:49:56,9:51:28,50 % Propylene,0.762,97.12056738,2.303,1.382,11.01
55,9:49:56,9:51:28,50 % Propylene,0.762,87.81560284,2.082,1.25,11.01
55,9:53:36,9:54:57,50 % Propylene,0.762,67.46099291,1.6,0.96,26.05
55,9:53:36,9:54:57,50 % Propylene,0.762,33.14893617,0.786,0.472,26.99
55,9:53:36,9:54:57,50 % Propylene,0.762,65.71631206,1.558,0.935,26.99
55,9:53:36,9:54:57,50 % Propylene,0.762,67.46099291,1.6,0.96,26.99
55,9:53:36,9:54:57,50 % Propylene,0.762,34.31205674,0.814,0.488,26.99
55,9:53:36,9:54:57,50 % Propylene,0.762,65.71631206,1.558,0.935,26.05
55,10:01:00,10:02:35,50 % Propylene,0.762,45.36170213,1.076,0.646,42.03
55,10:01:00,10:02:35,50 % Propylene,0.762,23.26241135,0.552,0.331,42.03
55,10:01:00,10:02:35,50 % Propylene,0.762,45.36170213,1.076,0.646,42.03
55,10:01:00,10:02:35,50 % Propylene,0.762,23.26241135,0.552,0.331,42.03
55,10:15:39,10:17:14,50 % Propylene,0.762,58.15602837,1.379,0.828,15.71
55,10:15:39,10:17:14,50 % Propylene,0.762,88.39716312,2.096,1.258,25.11
55,10:15:39,10:17:14,50 % Propylene,0.762,57.57446809,1.365,0.819,15.71
55,10:15:39,10:17:14,50 % Propylene,0.762,88.39716312,2.096,1.258,14.77
55,10:25:40,10:26:41,50 % Propylene,0.762,63.97163121,1.517,0.911,26.99
55,10:25:40,10:26:41,50 % Propylene,0.762,64.55319149,1.531,0.919,26.99
55,10:25:40,10:26:41,50 % Propylene,0.762,64.55319149,1.531,0.919,26.99
55,10:25:40,10:26:41,50 % Propylene,0.762,65.13475177,1.544,0.927,26.05
55,10:34:07,10:36:51,50 % Propylene,0.762,28.4964539,0.676,0.406,11.01
55,10:34:07,10:36:51,50 % Propylene,0.762,27.91489362,0.662,0.397,12.89
55,10:34:07,10:36:51,50 % Propylene,0.762,28.4964539,0.676,0.406,22.29
55,10:34:07,10:36:51,50 % Propylene,0.762,27.33333333,0.648,0.389,39.21
55,10:34:07,10:36:51,50 % Propylene,0.762,27.33333333,0.648,0.389,45.79
55,10:34:07,10:36:51,50 % Propylene,0.762,27.91489362,0.662,0.397,50.49
55,10:34:07,10:36:51,50 % Propylene,0.762,27.91489362,0.662,0.397,11.01
